Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
112,Age of Nations,GB,1998.0,Sports,CD Projekt,0.55,0.49,0.07,0.23,1.34
113,Legend of Racing Stars Gold Edition,3DS,2015.0,Simulation,Ubisoft,0.63,0.37,0.27,0.07,1.34
114,Depths Odyssey,PS3,2009.0,Action,Nintendo,0.42,0.55,0.13,0.23,1.33
115,Duty Fury Gold Edition,SNES,1996.0,Action,Konami Digital Entertainment,0.67,0.22,0.18,0.26,1.33
116,World of Empires: Reborn,PS3,,Puzzle,Atari,0.48,0.53,0.22,0.09,1.32
117,Honor Rebellion 3,X360,2005.0,Misc,Electronic Arts,0.61,0.3,0.2,0.2,1.31
118,Tales of Frontier III,Switch,2017.0,Adventure,Square Enix,0.6,0.25,0.22,0.24,1.31
119,Chronicles of Empires,PSV,2016.0,Fighting,Sega,0.48,0.34,0.32,0.15,1.29
120,Racing Stars Conquest 2,PS2,2005.0,Shooter,THQ,0.63,0.46,0.05,0.14,1.28
121,Odyssey Duty: Reborn,PS4,2019.0,Role-Playing,Epic Games,0.54,0.15,0.32,0.27,1.28
122,Skies Heroes: Reborn,PS2,2008.0,Role-Playing,CD Projekt,0.42,0.52,0.26,0.07,1.27
123,Saga of Titans: Revolution,Wii,2013.0,Sports,Epic Games,0.47,0.51,0.03,0.26,1.27
124,Empire of Skies: Revolution,DS,2009.0,Adventure,Sony Computer Entertainment,0.66,0.36,0.17,0.07,1.26
125,Kingdom of Empires II,DS,2011.0,Platform,Namco Bandai Games,0.63,0.41,0.06,0.14,1.24
126,Titans Titans: Reborn,PS3,2014.0,Action,Activision,0.54,0.47,0.06,0.17,1.24
127,Conquest Valor Gold Edition,GBA,2006.0,Role-Playing,Bethesda Softworks,0.38,0.17,0.6,0.07,1.22
128,Glory Racing Stars II,PS4,2014.0,Role-Playing,Atari,0.46,0.09,0.41,0.25,1.21
129,Fairways Arena Gold Edition,X360,2007.0,Role-Playing,Disney Interactive Studios,0.41,0.22,0.51,0.06,1.2
130,Shadows Frontier: Next Gen,Switch,2020.0,Shooter,2K Games,0.34,0.68,0.01,0.17,1.2
131,Shadow of Heroes: Origins,PSP,2007.0,Racing,Activision,0.36,0.32,0.08,0.44,1.2
132,Realm of Warriors,GC,2013.0,Platform,Ubisoft,0.38,0.37,0.33,0.11,1.19
133,Realm of Gridiron 2,PC,2002.0,Shooter,Take-Two Interactive,0.67,0.33,0.01,0.18,1.19
134,Quest for Gridiron Gold Edition,XOne,2015.0,Sports,Take-Two Interactive,0.52,0.41,0.05,0.21,1.19
135,Call of Racing Stars II,PS,2005.0,Action,Activision,0.62,0.32,0.22,0.03,1.19
136,Champions Depths,DS,2007.0,Sports,Warner Bros. Interactive,0.58,0.35,0.03,0.22,1.18
137,Empires Destiny 2,PS2,2001.0,Adventure,2K Games,0.31,0.39,0.2,0.27,1.17
138,Realm of Arena,PS2,2001.0,Simulation,Nintendo,0.71,0.29,0.08,0.09,1.17
139,Conquest Shadows,GBA,2006.0,Platform,Sega,0.72,0.26,0.05,0.14,1.17
140,Empire of Empires: Remastered,WiiU,2017.0,Role-Playing,Bethesda Softworks,0.39,0.34,0.31,0.11,1.15
141,Rebellion Odyssey III,SNES,2003.0,Action,Bethesda Softworks,0.45,0.27,0.24,0.19,1.15
142,Fall of Heroes 2,PSV,2011.0,Sports,Electronic Arts,0.56,0.17,0.1,0.32,1.15
143,Gridiron Heroes: Remastered,Switch,2020.0,Role-Playing,Disney Interactive Studios,0.31,0.27,0.43,0.14,1.15
144,Heroes Dragons: Reborn,PS2,2007.0,Action,Square Enix,0.38,0.41,0.25,0.1,1.14
145,Glory Frontier III,DS,2014.0,Simulation,Ubisoft,0.46,0.35,0.22,0.11,1.14
146,Tales of Destiny,DS,2005.0,Shooter,Atari,0.39,0.4,0.01,0.34,1.14
147,Rebellion Gridiron,PS2,2004.0,Action,Disney Interactive Studios,0.59,0.17,0.19,0.19,1.14
148,Shadow of Racing Stars: Revolution,X360,2010.0,Racing,Capcom,0.66,0.2,0.04,0.23,1.13
149,Fall of Fury III,Wii,2011.0,Misc,THQ,0.47,0.38,0.23,0.05,1.13
150,Fury Frontier III,Wii,2009.0,Sports,Konami Digital Entertainment,0.55,0.29,0.03,0.26,1.13
151,Fall of Legends III,GB,1997.0,Action,Atari,0.6,0.3,0.19,0.03,1.12
152,Rise of Empires: Origins,PS4,2015.0,Platform,Atari,0.55,0.21,0.17,0.19,1.12
153,Fall of Storm,GBA,2004.0,Role-Playing,Square Enix,0.21,0.27,0.58,0.05,1.11
154,Empire of Arena Gold Edition,PS3,2016.0,Action,Activision,0.5,0.44,0.07,0.1,1.11
155,Duty Warriors III,PS3,2013.0,Sports,Sega,0.49,0.42,0.07,0.12,1.1
156,Kingdom of Legends: Revolution,XOne,2019.0,Platform,2K Games,0.65,0.26,0.07,0.11,1.09
157,Legends Duty,DS,2004.0,Shooter,Take-Two Interactive,0.51,0.41,0.01,0.16,1.09
158,Quest for Fury 3,PS3,2009.0,Shooter,Capcom,0.56,0.33,0.07,0.13,1.09
159,Shadow of Storm: Next Gen,Switch,2019.0,Fighting,Disney Interactive Studios,0.51,0.31,0.17,0.1,1.09
160,Fall of Fairways: Origins,DS,2011.0,Misc,2K Games,0.36,0.48,0.12,0.13,1.09
161,Realm of Skies III,PS3,2016.0,Action,Bethesda Softworks,0.48,0.31,0.18,0.11,1.08
162,Shadows Gridiron Gold Edition,Switch,2020.0,Sports,Electronic Arts,0.51,0.36,0.03,0.18,1.08
163,Glory Empires III,Wii,2007.0,Adventure,2K Games,0.45,0.39,0.04,0.19,1.07
164,Kingdom of Valor III,Wii,2013.0,Fighting,Capcom,0.42,0.44,0.15,0.06,1.07
165,Empire of Depths: Remastered,X360,2017.0,Racing,Capcom,0.5,0.19,0.25,0.13,1.07
166,Empire of Shadows: Remastered,PS3,2012.0,Role-Playing,Konami Digital Entertainment,0.51,0.09,0.36,0.11,1.07
167,Frontier Heroes: Revolution,Wii,2007.0,Racing,THQ,0.49,0.46,0.01,0.1,1.06
168,World of Gridiron: Origins,PS4,2015.0,Simulation,Sega,0.48,0.35,0.12,0.11,1.06
169,Glory Fairways,Wii,2013.0,Adventure,Take-Two Interactive,0.62,0.34,0.05,0.05,1.06
170,Dragons Racing Stars: Revolution,PS3,2009.0,Shooter,THQ,0.42,0.25,0.07,0.32,1.06
171,Arena Nations,PS3,2013.0,Strategy,Take-Two Interactive,0.77,0.13,0.1,0.06,1.06
172,Destiny Dragons,3DS,2011.0,Action,Sony Computer Entertainment,0.68,0.21,0.16,0.01,1.06
173,Odyssey Empires: Origins,PSP,2004.0,Simulation,Take-Two Interactive,0.57,0.34,0.09,0.04,1.04
174,Champions Destiny: Reborn,XOne,2016.0,Action,Bethesda Softworks,0.29,0.38,0.1,0.27,1.04
175,Age of Titans 2,PS4,2018.0,Puzzle,Nintendo,0.52,0.19,0.16,0.17,1.04
176,Shadows Valor 3,DS,2008.0,Racing,Take-Two Interactive,0.5,0.33,0.05,0.15,1.03
177,Destiny Gridiron,GB,2005.0,Role-Playing,Nintendo,0.47,0.28,0.24,0.03,1.02
178,Shadow of Duty: Reborn,Switch,2018.0,Misc,Take-Two Interactive,0.55,0.27,0.04,0.16,1.02
179,Skies Frontier II,XB,2008.0,Shooter,THQ,0.41,0.46,0.02,0.13,1.02
180,Realm of Gridiron: Next Gen,DS,2007.0,Racing,Epic Games,0.33,0.38,0.05,0.25,1.01
181,Empires Empires,PS4,2014.0,Platform,Disney Interactive Studios,0.33,0.5,0.04,0.14,1.01
182,Skies Titans Gold Edition,PC,1995.0,Sports,2K Games,0.49,0.29,0.03,0.2,1.01
183,Empire of Shadows: Next Gen,PS2,2000.0,Adventure,Disney Interactive Studios,0.31,0.41,0.19,0.1,1.01
184,Call of Arena: Next Gen,PC,1996.0,Racing,Warner Bros. Interactive,0.55,0.32,0.0,0.13,1.0
185,Frontier Depths III,PC,1995.0,Role-Playing,Square Enix,0.19,0.23,0.44,0.14,1.0
186,Honor Legends,GC,2004.0,Fighting,Capcom,0.43,0.35,0.18,0.04,1.0
187,Chronicles of Arena,PS4,2020.0,Action,2K Games,0.45,0.25,0.14,0.15,0.99
188,Destiny Odyssey III,Switch,2020.0,Sports,Take-Two Interactive,0.57,0.24,0.02,0.16,0.99
189,Legends Legends: Next Gen,XB,2006.0,Action,Bethesda Softworks,0.37,0.3,0.18,0.14,0.99
190,Quest for Rebellion II,PS3,2016.0,Shooter,Warner Bros. Interactive,0.78,0.14,0.02,0.05,0.99
191,Fairways Glory Gold Edition,PSP,2013.0,Simulation,Microsoft Game Studios,0.47,0.13,0.27,0.11,0.98
192,Call of Depths: Reborn,3DS,2017.0,Action,Activision,0.4,0.23,0.28,0.07,0.98
193,Odyssey Odyssey,N64,2004.0,Shooter,THQ,0.33,0.54,0.02,0.09,0.98
194,Warriors Empires: Origins,PSP,2014.0,Action,Sony Computer Entertainment,0.34,0.29,0.16,0.19,0.98
195,Age of Dragons: Revolution,X360,2009.0,Shooter,Electronic Arts,0.48,0.24,0.04,0.21,0.97
196,Shadows Duty: Remastered,Wii,2007.0,Fighting,Namco Bandai Games,0.23,0.32,0.35,0.07,0.97
197,Destiny Legends: Reborn,XB,2002.0,Puzzle,Bethesda Softworks,0.41,0.39,0.06,0.11,0.97
198,Titans Depths: Remastered,3DS,2015.0,Sports,Ubisoft,0.56,0.28,0.11,0.02,0.97
199,Quest for Warriors: Origins,WiiU,2018.0,Shooter,Disney Interactive Studios,0.57,0.17,0.04,0.18,0.96
200,Empires Shadows: Next Gen,PSV,2019.0,Fighting,Sega,0.5,0.14,0.11,0.21,0.96
201,Chronicles of Racing Stars III,Wii,2008.0,Shooter,Take-Two Interactive,0.56,0.27,0.02,0.11,0.96
202,Battle for Heroes,PS2,2008.0,Sports,Ubisoft,0.37,0.21,0.21,0.16,0.95
203,Battle for Conquest: Remastered,GBA,2006.0,Action,Capcom,0.31,0.38,0.12,0.14,0.95
204,Rise of Depths,PS,2006.0,Shooter,Disney Interactive Studios,0.38,0.34,0.04,0.18,0.94
205,Destiny Conquest,PS2,2004.0,Adventure,Square Enix,0.33,0.34,0.16,0.11,0.94
206,Gridiron Depths,3DS,2016.0,Adventure,Disney Interactive Studios,0.32,0.39,0.11,0.12,0.94
207,Battle for Arena: Remastered,GC,2012.0,Simulation,Activision,0.45,0.19,0.11,0.19,0.94
208,Destiny Nations 3,PS2,2004.0,Simulation,Ubisoft,0.5,0.26,0.12,0.06,0.94
209,Destiny Odyssey: Origins,GC,2008.0,Misc,Ubisoft,0.33,0.27,0.22,0.12,0.94
210,Shadow of Glory Gold Edition,PS4,2015.0,Action,2K Games,0.42,0.25,0.1,0.17,0.94
211,Saga of Frontier: Revolution,PS4,2019.0,Role-Playing,Square Enix,0.22,0.24,0.41,0.06,0.93
212,Rise of Rebellion,DS,2009.0,Fighting,CD Projekt,0.3,0.36,0.09,0.18,0.93
213,Quest for Nations: Origins,PS,2000.0,Adventure,Take-Two Interactive,0.35,0.24,0.13,0.2,0.92
214,Rise of Legends: Revolution,Switch,2017.0,Platform,Sega,0.23,0.16,0.17,0.36,0.92
215,Shadow of Conquest,GC,2010.0,Racing,Ubisoft,0.4,0.38,0.05,0.09,0.92
216,Conquest Warriors: Origins,PS2,2007.0,Fighting,THQ,0.44,0.3,0.03,0.14,0.91
217,Realm of Depths: Origins,XOne,2017.0,Sports,Disney Interactive Studios,0.22,0.3,0.05,0.34,0.91
218,Nations Warriors Gold Edition,GBA,2005.0,Adventure,CD Projekt,0.58,0.07,0.01,0.25,0.91
219,Realm of Fairways 2,PSV,2013.0,Action,Namco Bandai Games,0.22,0.37,0.16,0.15,0.9
220,Chronicles of Heroes,PC,1997.0,Racing,Disney Interactive Studios,0.44,0.32,0.08,0.06,0.9
221,Saga of Rebellion,PC,1998.0,Fighting,Konami Digital Entertainment,0.28,0.46,0.05,0.11,0.9
222,World of Dragons,GBA,2007.0,Platform,Take-Two Interactive,0.34,0.29,0.19,0.08,0.9
223,Nations Duty: Origins,N64,2007.0,Strategy,2K Games,0.4,0.33,0.11,0.06,0.9
224,Warriors Duty: Revolution,WiiU,2016.0,Sports,2K Games,0.56,0.11,0.0,0.22,0.89
225,Chronicles of Honor: Next Gen,PC,1995.0,Sports,Capcom,0.5,0.24,0.03,0.12,0.89
226,Legends Titans 3,GC,2012.0,Strategy,2K Games,0.18,0.37,0.15,0.19,0.89
227,Valor Conquest,3DS,2011.0,Fighting,Nintendo,0.55,0.21,0.04,0.09,0.89
228,Battle for Glory 2,PS3,2015.0,Fighting,Sega,0.44,0.26,0.12,0.07,0.89
229,Conquest Racing Stars: Remastered,PSP,2005.0,Fighting,Activision,0.42,0.35,0.09,0.03,0.89
230,Duty Shadows 2,Switch,2017.0,Action,Take-Two Interactive,0.59,0.09,0.15,0.05,0.88
231,Rebellion Conquest,PS2,2006.0,Simulation,Ubisoft,0.46,0.16,0.12,0.14,0.88
232,Skies Frontier Gold Edition,DS,2005.0,Fighting,Activision,0.46,0.24,0.07,0.11,0.88
233,Chronicles of Warriors,Wii,2014.0,Action,Bethesda Softworks,0.43,0.23,0.09,0.13,0.88
234,Storm Nations 3,PS2,2002.0,Strategy,Capcom,0.39,0.13,0.19,0.16,0.87
235,Age of Honor: Remastered,GBA,2002.0,Shooter,Nintendo,0.52,0.19,0.02,0.14,0.87
236,Kingdom of Honor,DS,2008.0,Racing,Microsoft Game Studios,0.35,0.46,0.01,0.05,0.87
237,Empires Warriors: Revolution,XB,2009.0,Shooter,Atari,0.4,0.19,0.01,0.26,0.86
238,Kingdom of Warriors: Origins,X360,2012.0,Shooter,THQ,0.55,0.27,0.0,0.04,0.86
239,Duty Legends,PSP,2006.0,Action,Electronic Arts,0.48,0.19,0.14,0.05,0.86
240,Battle for Arena,DS,2013.0,Simulation,Sony Computer Entertainment,0.34,0.32,0.11,0.09,0.86
241,Dragons Racing Stars,PS4,2015.0,Shooter,Capcom,0.54,0.23,0.02,0.07,0.86
242,Fury Titans Gold Edition,PS4,2019.0,Puzzle,Electronic Arts,0.27,0.52,0.03,0.03,0.85
243,Fairways Valor 2,DS,2009.0,Fighting,Warner Bros. Interactive,0.34,0.27,0.09,0.15,0.85
244,Battle for Gridiron: Reborn,PS2,2005.0,Sports,THQ,0.43,0.29,0.02,0.1,0.84
245,Kingdom of Odyssey Gold Edition,WiiU,,Adventure,Bethesda Softworks,0.38,0.3,0.13,0.03,0.84
246,Honor Titans II,PS3,2010.0,Platform,Atari,0.37,0.14,0.32,0.01,0.84
247,Kingdom of Titans,SNES,2003.0,Shooter,Disney Interactive Studios,0.46,0.33,0.0,0.05,0.84
248,Depths Destiny: Next Gen,PS2,2005.0,Simulation,Sega,0.48,0.21,0.06,0.09,0.84
249,Tales of Fury,Switch,2017.0,Sports,Take-Two Interactive,0.31,0.27,0.12,0.13,0.83
250,Shadow of Odyssey,SNES,,Misc,Atari,0.47,0.1,0.16,0.1,0.83
251,Fairways Empires: Next Gen,PS2,2007.0,Adventure,Disney Interactive Studios,0.3,0.24,0.13,0.16,0.83
252,Odyssey Storm,GBA,2007.0,Platform,Microsoft Game Studios,0.31,0.33,0.11,0.08,0.83
253,Nations Empires 2,PS,1998.0,Simulation,Warner Bros. Interactive,0.19,0.42,0.05,0.16,0.82
254,Depths Racing Stars II,DS,2010.0,Adventure,Bethesda Softworks,0.3,0.3,0.14,0.08,0.82
255,Call of Odyssey III,PSV,2019.0,Fighting,Disney Interactive Studios,0.25,0.27,0.18,0.12,0.82
256,Honor Warriors,DS,2009.0,Shooter,Sony Computer Entertainment,0.44,0.33,0.03,0.02,0.82
